Year,KenPom Rank,Team,CONF,Seed Number,AdjEM,AdjO,AdjD,AdjT,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,POSTSEASON
2013,46,UCLA ,P12,6,14.53,111.1,96.6,68.1,8.06,105.9,97.9,0.43,64
2013,38,UNLV ,MWC,5,16.07,106,90,67.9,6.23,106.1,99.9,-0.28,64
2013,65,Valparaiso ,Horz,14,11.42,110.7,99.3,64.3,-1.5,101.5,103,-3.18,64
2013,18,VCU ,A10,5,20.28,114,93.7,66.4,5.09,105.8,100.7,-0.22,64
2013,53,Villanova ,BE,9,13.57,106.3,92.7,66.4,9.41,106.5,97.1,0.3,32
2013,173,Western Kentucky ,SB,16,-0.41,101.8,102.2,64.6,-2.47,100.9,103.3,3.24,64
2013,17,Wichita St. ,MVC,9,20.31,111.8,91.5,63.8,6.71,106.9,100.2,0.17,32
2013,12,Wisconsin ,B10,5,22.57,108.3,85.7,60.4,11.08,108.8,97.7,-3.2,4
2014,181,Albany ,AE,16,-1.04,102.9,103.9,61.6,-5.12,101.5,106.6,0.91,64
2014,120,American ,Pat,15,4.57,103.4,98.9,59.7,-2.59,103.6,106.2,-0.1,64
2014,2,Arizona ,P12,1,30.11,116.5,86.4,62.8,9.3,109.9,100.6,1.62,8
2014,39,Arizona St. ,P12,10,14.82,111.2,96.4,67.4,7.5,108.6,101.1,-2.6,64
2014,26,Baylor ,B12,6,19.39,118.9,99.5,61.3,10.31,111,100.6,-0.36,16
2014,49,BYU ,WCC,10,13.77,114.5,100.7,70.8,6.59,109.6,103,8.43,64
2014,176,Cal Poly ,BW,16,-0.82,103.6,104.4,58.8,2.38,107.4,105,10.19,64
2014,27,Cincinnati ,Amer,5,19.24,109.7,90.4,61.1,4.72,107.3,102.6,-4.57,64
2014,221,Coastal Carolina ,BSth,16,-4.98,98.2,103.2,65.6,-8.1,102.1,110.2,-4.94,64
2014,67,Colorado,P12,8,11.2,107.7,96.5,64.8,8.74,109.5,100.8,0.91,64
2014,15,Connecticut ,Amer,7,22.13,113.6,91.5,63.2,9.43,109.7,100.3,1.31,1
2014,17,Creighton ,BE,3,21.72,124.2,102.5,63.6,7.5,108.5,101,-0.57,32
2014,42,Dayton ,A10,11,14.25,113.8,99.6,63.8,6.25,107.7,101.4,2.88,8
2014,106,Delaware ,CAA,13,5.83,112,106.2,70.4,-0.68,105.2,105.9,2.4,64
2014,8,Duke ,ACC,3,24.25,124.7,100.4,64.6,8.76,109.2,100.5,-5.04,64
2014,125,Eastern Kentucky ,OVC,15,3.96,112.4,108.4,64.2,-4.97,104.1,109,2.39,64
2014,3,Florida ,SEC,1,28.57,116.5,88,61.3,9.02,109.4,100.4,2.05,4
2014,47,George Washington ,A10,9,13.82,110.8,97,65.3,5.56,107.3,101.7,-0.08,64
2014,24,Gonzaga ,WCC,8,20.14,114,93.8,65,5.05,109,103.9,2.2,32
2014,32,Harvard ,Ivy,12,17.58,112.9,95.3,64.1,0.13,104.5,104.3,0.98,32
2014,22,Iowa ,B10,11,20.44,120.2,99.8,68.6,8.35,108.6,100.2,-6.19,68
2014,20,Iowa St. ,B12,3,21.07,118.9,97.8,70.2,10.77,111.1,100.4,1.44,16
2014,7,Kansas ,B12,2,24.6,119.3,94.7,66.6,12.13,112.2,100,9.47,32
2014,45,Kansas St. ,B12,9,14.1,107.8,93.7,63.3,8.17,110.5,102.3,-4.06,64
2014,13,Kentucky ,SEC,8,22.55,118.3,95.8,64,10.73,110.5,99.8,4.19,2
2014,113,Louisiana ,SB,14,5.19,110.2,105,68.5,-0.57,105,105.6,4.65,64
2014,1,Louisville ,Amer,4,30.41,118.9,88.5,67.2,4.31,107,102.7,-4.21,16
2014,74,Manhattan ,MAAC,13,10.21,107.2,97,67.7,-0.2,105.6,105.8,-4.65,64
2014,50,Massachusetts,A10,6,13.46,110,96.5,70.3,7.33,108,100.6,3.46,64
2014,36,Memphis ,Amer,8,15.22,112.4,97.1,67.5,7.25,108.3,101.1,0.02,32
2014,87,Mercer ,ASun,14,8.34,110.8,102.4,63.6,-4.44,103.6,108,4.65,32
2014,12,Michigan ,B10,2,23.44,123.9,100.5,61,11.65,110.3,98.6,0.62,8
2014,9,Michigan St. ,B10,4,23.92,118.6,94.7,64.4,10.44,110.2,99.7,0.57,8
2014,168,Milwaukee ,Horz,15,0.08,104.7,104.6,65.8,0.03,104.4,104.4,-2.92,64
2014,209,Mount St. Mary's ,NEC,16,-3.96,107.8,111.7,68.2,-4.27,102.7,107,3.09,68
2014,56,Nebraska ,B10,11,12.64,108.8,96.1,64.7,9.3,108.4,99.1,-4.31,64
2014,33,New Mexico ,MWC,7,17.15,113.5,96.3,64.4,4.83,107.7,102.9,-1.95,64
2014,72,New Mexico St. ,WAC,13,10.54,112.9,102.4,65.2,-3.64,103,106.7,3.24,64
2014,29,North Carolina ,ACC,6,18.44,112.6,94.2,69.2,8.83,110.5,101.6,2.6,32
2014,92,North Carolina Central ,MEAC,14,7.98,108.6,100.7,62.3,-10.35,98.1,108.5,1.31,64
2014,62,North Carolina State ,ACC,12,11.6,114,102.4,64.7,7.77,108.4,100.7,-1.94,64
2014,61,North Dakota St. ,Sum,12,11.76,115.5,103.7,62.3,1.38,106.8,105.4,5.32,32
2014,19,Ohio St. ,B10,6,21.3,109.3,88,64,7.8,109.2,101.4,-3.36,64
2014,30,Oklahoma ,B12,5,17.9,117.9,100,69.6,9.13,110.2,101,0.5,64
2014,21,Oklahoma St. ,B12,9,20.98,115.9,95,67.2,9.06,109.9,100.8,-1.15,64
2014,28,Oregon ,P12,7,19.02,118.9,99.9,67.5,7.39,109.1,101.8,-1.18,32
2014,16,Pittsburgh ,ACC,9,21.89,116.9,95,62.2,7.62,108,100.4,-3.66,32
2014,48,Providence ,BE,11,13.81,114.6,100.8,62.9,8.35,109.2,100.8,0.81,64
2014,55,Saint Joseph's ,A10,10,12.93,112.3,99.4,64.3,6.18,107.5,101.3,0.17,64
2014,35,Saint Louis ,A10,5,15.72,105.7,90,65.6,5.04,107.2,102.2,-1.5,32
2014,23,San Diego St. ,MWC,4,20.38,110.4,90,62.3,5.18,108,102.8,2.71,16
2014,34,Stanford ,P12,10,16.06,112.4,96.4,65.3,9.42,110.2,100.7,2.34,16
2014,70,Stephen F. Austin ,Slnd,12,10.83,112.3,101.5,61.2,-7.12,102,109.2,-4.19,32
2014,18,Syracuse ,ACC,3,21.62,114.6,93,59.6,7.23,109.4,102.2,-1.01,32
2014,10,Tennessee ,SEC,11,23.69,117.9,94.2,61.6,8.12,108.9,100.8,1.46,16
2014,41,Texas ,B12,7,14.52,111.8,97.3,66.8,9.61,110.9,101.3,-1.74,32
2014,259,Texas Southern ,SWAC,16,-7.49,106.7,114.1,65.7,-11.11,97.6,108.8,2.72,68
2014,82,Tulsa ,CUSA,13,8.93,106.1,97.2,66.8,0.57,104.9,104.3,2.81,64
2014,14,UCLA ,P12,4,22.53,118.7,96.1,68.4,7.63,109.1,101.5,-3.26,16
2014,40,Utah ,P12,5,14.81,110.7,95.9,63.6,5.51,107.8,102.3,-11.55,16
2014,25,VCU ,A10,5,19.8,109.2,89.4,68.9,5.45,107.4,102,1.33,64
2014,11,Villanova ,BE,2,23.68,116.3,92.6,66,7.47,110.1,102.6,2.61,32
2014,4,Virginia ,ACC,1,26.46,114.8,88.3,59.5,8.67,109.4,100.8,1.57,32
2014,172,Weber St. ,BSky,16,-0.62,106.4,107,62.9,-6.78,103.3,110,6.69,64
2014,131,Western Michigan ,MAC,14,3.36,106.3,103,65.2,-1.86,103.9,105.7,-3.25,4
2014,6,Wichita St. ,MVC,1,25.36,117.8,92.4,63.5,1.04,105.8,104.8,2.89,16
2014,5,Wisconsin ,B10,2,25.89,122,96.1,62.4,11.44,110.2,98.8,3.33,2
2014,192,Wofford ,SC,15,-1.94,100.6,102.6,60.5,-5.87,103.5,109.3,7.63,64
2015,131,Albany ,AE,14,3.29,107.2,103.9,60.8,-5.5,100.4,105.9,0.18,64
2015,4,Arizona ,P12,2,32.36,119.9,87.5,65.8,7.37,108.3,100.9,0.09,8
2015,29,Arkansas ,SEC,5,16.44,114.7,98.3,69.3,6.09,107.2,101.1,-3.44,32
2015,14,Baylor ,B12,3,22.14,116.6,94.5,61.5,10.22,108.9,98.7,-0.51,64
2015,142,Belmont ,OVC,15,2.27,110.2,107.9,66.9,-3.33,102.4,105.7,-1.68,64
2015,47,Boise St. ,MWC,11,13.85,111.9,98.1,62.8,0.94,104.8,103.9,-0.31,68
2015,58,Buffalo ,MAC,12,11.87,111.3,99.4,68.3,1.83,106,104.2,0.81,64
2015,20,Butler ,BE,6,20.09,110.2,90.1,63.2,9.72,110.6,100.9,0.69,32
2015,28,BYU ,WCC,11,16.69,119.4,102.7,70.4,3.96,107,103,3.78,68
2015,43,Cincinnati ,Amer,8,14.15,108.2,94,59.8,3.39,104.9,101.5,1.69,32
2015,140,Coastal Carolina ,BSth,16,2.38,106.7,104.3,64.1,-6.45,102.2,108.6,-1.05,64
2015,36,Davidson ,A10,10,15,119.7,104.7,66.7,3.16,105.3,102.2,-3.78,64
2015,42,Dayton ,A10,11,14.24,109.2,95,63.4,3.39,105.4,102,0.07,32
2015,3,Duke ,ACC,1,32.48,124.5,92,65.8,11.17,110.7,99.5,1.31,1
2015,133,Eastern Washington ,BSky,13,3.25,112.9,109.6,68.2,-3.75,104.2,108,3.94,64
2015,22,Georgetown ,BE,4,19.13,114.3,95.1,64,10.23,110.5,100.3,3.24,32
2015,35,Georgia ,SEC,10,15.09,109.6,94.5,64.1,8.73,108.6,99.9,1.41,64
2015,68,Georgia St. ,SB,14,10.32,111.6,101.3,62.4,-1.47,102.4,103.9,3.63,32
2015,7,Gonzaga ,WCC,2,27.78,121.7,93.9,64.7,4.37,107.3,102.9,3,8
2015,251,Hampton ,MEAC,16,-7.4,96.6,104,69.2,-7.48,99.5,106.9,-0.55,64
2015,75,Harvard ,Ivy,13,9.23,104.8,95.6,61.1,-0.18,104.3,104.5,0.36,64
2015,48,Indiana ,B10,10,13.83,119.8,106,66.6,6.92,107.8,100.9,-5.96,64
2015,23,Iowa ,B10,7,19.02,114.2,95.1,63.7,8.58,108.9,100.4,-1.58,32
2015,16,Iowa St. ,B12,3,21.49,119,97.5,69.6,10.59,109,98.5,-1.18,64
2015,12,Kansas ,B12,2,22.72,114.5,91.8,67,13.17,110.6,97.4,9.57,32
2015,1,Kentucky ,SEC,1,36.91,121.3,84.4,62.4,8.58,108.7,100.1,3.13,4
2015,193,Lafayette ,Pat,16,-2.14,112.9,115.1,64.6,-4.01,103,107,-0.45,64
2015,17,Louisville ,ACC,4,21.21,110.2,88.9,64.6,9.69,109.5,99.8,-2.36,8
2015,49,LSU ,SEC,9,13.76,108.9,95.1,69.3,5.09,106.2,101.2,-4.77,64
2015,162,Manhattan ,MAAC,16,0.31,101.9,101.6,67.7,-3.59,102,105.6,-0.4,68
2015,33,Maryland ,B10,4,15.68,111.3,95.7,63.9,7.15,108.3,101.1,-3.33,32
2015,15,Michigan St. ,B10,7,21.72,116.6,94.9,63.1,10.49,110.3,99.8,-0.88,4
2015,46,Mississippi ,SEC,11,13.88,114.5,100.6,66.2,7.1,107.3,100.2,-1.19,64
2015,98,New Mexico St. ,WAC,15,6.63,107.4,100.8,63,-5.37,101.1,106.5,-0.65,64
2015,10,North Carolina ,ACC,4,23.85,119.1,95.3,69.2,12.76,111.1,98.3,1.78,16
2015,32,North Carolina State ,ACC,8,15.93,114.9,98.9,64.1,9.84,109.3,99.5,7.64,16
2015,152,North Dakota St. ,Sum,15,1.41,103.8,102.4,60.8,-4.21,102.9,107.1,-5.5,64
2015,143,North Florida ,ASun,16,2.26,108.4,106.2,67.1,-7.19,101,108.2,2.23,68
2015,117,Northeastern ,CAA,14,5.12,108.3,103.1,63.3,-1.29,104.5,105.7,1.8,64
2015,18,Northern Iowa ,MVC,5,20.98,116.3,95.3,58.2,1.42,104.4,103,0.61,32
2015,9,Notre Dame ,ACC,3,24.96,125.4,100.4,63.4,7.59,107.7,100.1,-11.62,8
2015,19,Ohio St. ,B10,10,20.75,115.6,94.8,65.2,6.76,108.1,101.4,-7.41,32
2015,11,Oklahoma ,B12,3,22.8,112.5,89.7,66.7,11,110.2,99.2,1.05,16
2015,38,Oklahoma St. ,B12,9,14.92,111.8,96.8,63.3,10.42,108.2,97.8,-1.65,64
2015,45,Oregon ,P12,8,13.88,115.2,101.3,66.6,7.28,108.4,101.1,-2.34,32
2015,27,Providence ,BE,6,16.72,112.6,95.9,65.2,10.26,109.7,99.4,2.18,64
2015,44,Purdue ,B10,9,13.96,110.9,97,64.3,7.45,109,101.6,-2.75,64
2015,184,Robert Morris ,NEC,16,-1.39,103.1,104.5,65.4,-4.59,102.7,107.3,2.49,64
2015,31,San Diego St. ,MWC,8,15.95,104.9,89,60.4,3.63,106.1,102.5,3.5,32
2015,26,SMU ,Amer,6,17.51,113.1,95.6,63.1,2.52,105.3,102.8,0.99,64
2015,50,St. John's ,BE,9,13.7,110.7,97,66.7,8.72,109,100.3,-1.5,64
2015,51,Stephen F. Austin ,Slnd,12,13.64,113.9,100.3,65.4,-5.56,102.2,107.7,0.63,64
2015,24,Texas ,B12,11,18.94,112.4,93.4,62,9.52,108.3,98.8,-2.47,64
2015,213,Texas Southern ,SWAC,15,-3.84,104.1,107.9,63.3,-6.74,100,106.8,15.16,64
2015,135,UAB ,CUSA,14,3.06,104.9,101.9,64.7,0.29,103.9,103.6,3.4,32
2015,91,UC Irvine ,BW,13,7.09,106.3,99.2,63.4,0.9,104.7,103.8,2.29,64
2015,40,UCLA ,P12,11,14.65,112.9,98.2,65.8,8.4,107.9,99.5,2.63,16
2015,8,Utah ,P12,5,27.24,116.4,89.2,60.5,8.19,108.8,100.6,0.6,32
